id,first_name,last_name,email,department_name,hire_date,created_at,updated_at
582,Brandy,Conner,brandy.conner@company.com,Customer Support,2025-04-23 09:09:56.589104,2025-04-23 09:09:56.589104,2025-04-23 09:09:56.589105
583,Jenna,Williams,jenna.williams@company.com,Finance,2025-04-23 09:09:56.589105,2025-04-23 09:09:56.589106,2025-04-23 09:09:56.589107
584,Tracy,Moore,tracy.moore@company.com,Customer Support,2025-04-23 09:09:56.589107,2025-04-23 09:09:56.589108,2025-04-23 09:09:56.589109
585,Jasmine,Sampson,jasmine.sampson@company.com,Legal,2025-04-23 09:09:56.589109,2025-04-23 09:09:56.589110,2025-04-23 09:09:56.589111
586,Phillip,Figueroa,phillip.figueroa@company.com,Finance,2025-04-23 09:09:56.589111,2025-04-23 09:09:56.589112,2025-04-23 09:09:56.589113
587,Alexander,Solomon,alexander.solomon@company.com,Research,2025-04-23 09:09:56.589113,2025-04-23 09:09:56.589114,2025-04-23 09:09:56.589114
588,Bailey,Stone,bailey.stone@company.com,Legal,2025-04-23 09:09:56.589115,2025-04-23 09:09:56.589116,2025-04-23 09:09:56.589116
589,Madison,Walker,madison.walker@company.com,Finance,2025-04-23 09:09:56.589117,2025-04-23 09:09:56.589118,2025-04-23 09:09:56.589118
590,James,Hale,james.hale@company.com,Operations,2025-04-23 09:09:56.589119,2025-04-23 09:09:56.589120,2025-04-23 09:09:56.589120
591,Dominique,Smith,dominique.smith@company.com,Development,2025-04-23 09:09:56.589121,2025-04-23 09:09:56.589122,2025-04-23 09:09:56.589122
592,Marie,Hoover,marie.hoover@company.com,Operations,2025-04-23 09:09:56.589123,2025-04-23 09:09:56.589124,2025-04-23 09:09:56.589124
593,Ryan,Smith,ryan.smith@company.com,Operations,2025-04-23 09:09:56.589125,2025-04-23 09:09:56.589126,2025-04-23 09:09:56.589126
594,Ashley,Martinez,ashley.martinez@company.com,Sales,2025-04-23 09:09:56.589127,2025-04-23 09:09:56.589127,2025-04-23 09:09:56.589128
595,Antonio,Harmon,antonio.harmon@company.com,Development,2025-04-23 09:09:56.589129,2025-04-23 09:09:56.589129,2025-04-23 09:09:56.589130
596,Christina,Smith,christina.smith@company.com,Finance,2025-04-23 09:09:56.589131,2025-04-23 09:09:56.589131,2025-04-23 09:09:56.589132
